chrom	length	bases	mean	min	max
scaffold_1	8340845	280830396	33.67	0	994
scaffold_1_region	8340845	280830396	33.67	0	994
scaffold_2	8079863	265574270	32.87	0	474
scaffold_2_region	8079863	265574270	32.87	0	474
scaffold_3	6494557	217371858	33.47	0	331
scaffold_3_region	6494557	217371858	33.47	0	331
scaffold_4	3437093	116965446	34.03	0	297
scaffold_4_region	3437093	116965446	34.03	0	297
scaffold_5	1489275	55100285	37.00	0	311
scaffold_5_region	1489275	55100285	37.00	0	311
scaffold_6	152617	60639662	397.33	0	1022
scaffold_6_region	152617	60639662	397.33	0	1022
scaffold_7	119732	9346198	78.06	0	501
scaffold_7_region	119732	9346198	78.06	0	501
scaffold_8	80756	904721	11.20	0	38
scaffold_8_region	80756	904721	11.20	0	38
scaffold_9	76740	7269910	94.73	0	254
scaffold_9_region	76740	7269910	94.73	0	254
scaffold_10	5129	16484	3.21	0	21
scaffold_10_region	5129	16484	3.21	0	21
total	28276607	1014019230	35.86	0	1022
total_region	28276607	1014019230	35.86	0	1022
