chrom	length	bases	mean	min	max
scaffold_1	8340845	1415287524	169.68	0	11465
scaffold_1_region	8340845	1415287524	169.68	0	11465
scaffold_2	8079863	1345339466	166.51	0	6956
scaffold_2_region	8079863	1345339466	166.51	0	6956
scaffold_3	6494557	1129632733	173.94	0	5966
scaffold_3_region	6494557	1129632733	173.94	0	5966
scaffold_4	3437093	619205711	180.15	0	8533
scaffold_4_region	3437093	619205711	180.15	0	8533
scaffold_5	1489275	255767901	171.74	0	7298
scaffold_5_region	1489275	255767901	171.74	0	7298
scaffold_6	152617	305852538	2004.05	0	4793
scaffold_6_region	152617	305852538	2004.05	0	4793
scaffold_7	119732	26245927	219.21	0	1046
scaffold_7_region	119732	26245927	219.21	0	1046
scaffold_8	80756	4362043	54.02	0	168
scaffold_8_region	80756	4362043	54.02	0	168
scaffold_9	76740	18573649	242.03	0	849
scaffold_9_region	76740	18573649	242.03	0	849
scaffold_10	5129	79906	15.58	0	60
scaffold_10_region	5129	79906	15.58	0	60
total	28276607	5120347398	181.08	0	11465
total_region	28276607	5120347398	181.08	0	11465
